"","State","CMS.Certification.Number..CCN..","Provider.Name","Address","City","Zip","Phone","Type.of.Ownership","Offers.Nursing.Care.Services","Offers.Physical.Therapy.Services","Offers.Occupational.Therapy.Services","Offers.Speech.Pathology.Services","Offers.Medical.Social.Services","Offers.Home.Health.Aide.Services","Date.Certified","Quality.of.Patient.Care.Star.Rating","How.often.the.home.health.team.began.their.patients..care.in.a.timely.manner","How.often.the.home.health.team.taught.patients..or.their.family.caregivers..about.their.drugs","How.often.the.home.health.team.checked.patients..risk.of.falling","How.often.the.home.health.team.checked.patients.for.depression","How.often.the.home.health.team.determined.whether.patients.received.a.flu.shot.for.the.currnet.flu.season","How.often.the.home.health.team.made.sure.that.their.patients.have.received.a.pneumococcal.vaccine..pneumonia.shot..","With.diabetes..how.often.the.home.health.team.got.doctor.s.orders..gave.foot.care..and.taught.patients.about.foot.care","How.often.patients.got.better.at.walking.or.moving.around","How.often.patients.got.better.at.getting.in.and.out.of.bed","How.often.patients.got.better.at.bathing","How.often.patients..breathing.improved","How.often.patients..wounds.improved.or.healed.after.an.operation","How.often.patients.got.better.at.taking.their.drugs.correctly.by.mouth","How.often.home.health.patients.had.to.be.admitted.to.the.hospital","How.often.patients.receiving.home.health.care.needed.urgent..unplanned.care.in.the.ER.without.being.admitted","Changes.in.Skin.Integrity.Post.Acute.Care..Pressure.Ulcer.Injury","How.often.physician.recommended.actions.to.address.medication.issues.were.completely.timely","DTC.Numerator","DTC.Denominator","DTC.Observed.Rate","DTC.Risk.Standardized.Rate","DTC.Risk.Standardized.Rate..Lower.Limit.","DTC.Risk.Standardized.Rate..Upper.Limit.","DTC.Performance.Categorization","PPR.Numerator","PPR.Denominator","PPR.Observed.Rate","PPR.Risk.Standardized.Rate","PPR.Risk.Standardized.Rate..Lower.Limit.","PPR.Risk.Standardized.Rate..Upper.Limit.","PPR.Performance.Categorization","How.much.Medicare.spends.on.an.episode.of.care.at.this.agency..compared.to.Medicare.spending.across.all.agencies.nationally","No..of.episodes.to.calc.how.much.Medicare.spends.per.episode.of.care.at.agency..compared.to.spending.at.all.agencies..national."
"5204","OH","367608","JUDSON HOME CARE","2373 HARRISON AVENUE","CINCINNATI",45211,5136625880,"Non - Profit Religious","Yes","Yes","Yes","Yes","No","Yes",1994-10-22,"2.0",76.1,99.2,100,98.5,79.3,85.4,100,64.8,78.9,75.4,60.7,NA,63.3,NA,NA,0.08,98.5,13,"26.0","50.00","61.17","42.87","78.17","Worse Than National Rate","","5.0","Not Available","Not Available","Not Available","Not Available","","1.09",83
"5205","OH","367611","CONTINUED CARE INC","920 WEST MARKET STREET, SUITE 202","LIMA",45805,4192222273,"Non - Profit Private","Yes","Yes","Yes","Yes","No","Yes",1994-11-17,"1.5",91.5,100,100,100,87.9,92.1,98.7,55.6,51,63.8,55.3,NA,27.2,21.1,27.7,1.7,99.3,73,"98.0","74.49","81.82","73.04","89.64","Same As National Rate","2.0","63.0","3.17","3.32","2.47","4.61","Same As National Rate","1.05",115
"5206","OH","367615","OHIOHEALTH HOME HEALTH","404 E WILSON BRIDGE ROAD, SUITE A","WORTHINGTON",43085,6145660888,"Non - Profit Private","Yes","Yes","Yes","Yes","Yes","Yes",1994-11-23,"2.5",87.4,99.8,99.8,99.3,76,83.8,94.8,73.5,77.8,76,71,89,69.9,15.3,13.1,0.18,96.3,7222,"8353.0","86.46","88.25","87.46","89.23","Better Than National Rate","192.0","7307.0","2.63","3.22","2.80","3.62","Same As National Rate","0.95",10314
"5207","OH","367617","MENORAH PARK HOME HEALTH SERVICE","27100 CEDAR ROAD","BEACHWOOD",44122,2165957333,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1994-12-12,"3.0",98.1,99,99.8,96.6,84.8,93.1,95.3,79.3,78.6,77.5,76.3,91.4,73.9,16.3,13.5,0.18,97.9,1145,"1366.0","83.82","86.74","84.97","88.78","Better Than National Rate","48.0","1343.0","3.57","4.03","3.20","5.01","Same As National Rate","1.03",1658
"5208","OH","367624","HOME HEALTH SERVICES WOOSTER COMMUNITY HOSPITAL","3727 FRIENDSVILLE ROAD, SUITE 4","WOOSTER",44691,3302638636,"Government - Local","Yes","Yes","Yes","Yes","Yes","Yes",1995-01-10,"3.0",98.3,99.4,100,99.3,76,86.2,96.6,75.5,75.6,74.9,80,93.8,70.6,16.1,12.4,0.26,98,512,"584.0","87.67","92.25","89.28","95.11","Better Than National Rate","22.0","567.0","3.88","3.55","2.69","4.60","Same As National Rate","1.03",662
"5209","OH","367630","AMERICAN NURSING CARE","658 WEST MARKET STREET, SUITE 200","LIMA",45801,4192280888,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1995-03-10,"4.0",98.9,100,100,100,79.8,87.1,98.7,80.4,85.7,87.3,95.2,100,82.8,16.7,12.5,0.1,99.4,83,"113.0","73.45","79.81","71.58","88.09","Same As National Rate","3.0","119.0","2.52","3.35","2.41","4.66","Same As National Rate","1.02",178
"5210","OH","367633","HEARTLAND HOME HEALTH CARE","205 NORTH STREET","LUCASVILLE",45648,7402596571,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1995-02-24,"3.0",98.8,99.6,100,99.6,85.3,92.5,100,75.2,75.4,80.6,82.4,99.7,68.3,13.6,8.6,0,99.6,121,"150.0","80.67","90.45","83.11","96.50","Better Than National Rate","4.0","130.0","3.08","3.39","2.34","4.68","Same As National Rate","1.23",238
"5211","OH","367634","HEARTLAND HOME CARE INC","4807 ROCKSIDE RD, SUITE 110","INDEPENDENCE",44131,2169011464,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1995-05-04,"2.5",99,99.8,99.6,98.3,76.7,83.5,99.4,69.6,69.4,68.8,74.6,89.3,64,18.6,11.8,0.19,99.2,324,"451.0","71.84","82.21","78.35","86.82","Same As National Rate","16.0","357.0","4.48","3.74","2.80","4.99","Same As National Rate","1.00",680
"5212","OH","367639","LOVING CARE HOSPICE AND HOME HEALTH","56 SOUTH OAK STREET","LONDON",43140,7408527755,"Non - Profit Private","Yes","Yes","Yes","Yes","Yes","Yes",1995-05-12,"3.5",98.2,97.9,99.6,98.9,75,90.8,93,76.4,80.3,79.3,87.1,89.4,71,15.3,23,0,97.5,95,"112.0","84.82","94.22","85.97","100","Better Than National Rate","4.0","101.0","3.96","3.46","2.54","4.83","Same As National Rate","0.90",144
"5213","OH","367643","COLLEGE PARK HOME CARE PLUS","380 BROWN'S LANE, SUITE 7","COSHOCTON",43812,7406234607,"Proprietary","Yes","Yes","No","No","No","Yes",1995-05-23,"2.5",95.1,97.5,98.6,89.6,69.6,90.2,98.2,72.2,66.2,65.6,87.6,NA,45,21.8,22.5,0,98.8,120,"161.0","74.53","79.13","71.42","85.62","Same As National Rate","1.0","88.0","1.14","3.20","2.25","4.47","Same As National Rate","1.20",265
"5214","OH","367645","VILLAGE HOME HEALTH AND HOSPICE","11275 SPRINGFIELD PIKE","CINCINNATI",45246,5137822546,"Non - Profit Other","Yes","Yes","Yes","Yes","Yes","Yes",1995-05-17,"4.5",98.8,100,100,100,86.9,93,98.4,87.2,87.3,88,81.1,89,76.6,13.2,10,0,99.8,309,"392.0","78.83","82.65","78.44","86.47","Same As National Rate","3.0","242.0","1.24","3.11","2.21","4.31","Same As National Rate","1.13",629
"5215","OH","367650","MENNONITE MEMORIAL HOME HEALTH","10 PINEBROOK DRIVE","BLUFFTON",45817,4193587803,"Non - Profit Religious","Yes","Yes","Yes","Yes","Yes","Yes",1995-06-27,"2.0",97.6,97.6,97.4,90.5,87,81,NA,60.1,64,56.7,48.1,NA,36.8,15.6,4.2,0.37,92.9,47,"57.0","82.46","81.57","69.86","89.02","Same As National Rate","3.0","60.0","5.00","3.68","2.59","5.27","Same As National Rate","0.85",68
"5216","OH","367653","HOME HEALTH SERVICES OF HIGHLAND DISTRICT HOSPITAL","1275 NORTH HIGH STREET","HILLSBORO",45133,9373936371,"Government - State/ County","Yes","Yes","Yes","Yes","Yes","Yes",1995-06-01,"3.5",97.9,100,99.3,100,67.3,74.7,92.8,79.2,76.6,80.2,83.6,97.2,69.2,10.9,18.5,0.2,95,346,"405.0","85.43","88.55","85.18","91.93","Better Than National Rate","11.0","395.0","2.78","3.18","2.38","4.40","Same As National Rate","0.95",445
"5217","OH","367658","CONSTANCE CARE HOME HEALTHCARE","THE HERALD SQUARE, 774 NORTH COURT STREET","CIRCLEVILLE",43113,7404778689,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",1995-06-30,"2.5",91.9,93.9,100,100,72,87.7,95.8,64.5,73.5,70.9,82.7,NA,68.1,NA,NA,0.34,86.4,47,"59.0","79.66","82.26","72.25","90.59","Same As National Rate","3.0","38.0","7.89","3.71","2.50","5.26","Same As National Rate","0.94",132
"5218","OH","367684","MONTEFIORE AT HOME","ONE DAVID N MYERS PARKWAY","BEACHWOOD",44122,2169102640,"Non - Profit Religious","Yes","Yes","Yes","Yes","Yes","Yes",1996-06-26,"3.0",89.1,92.4,100,94.9,83.6,87.5,93.5,77.5,86.9,76,71.5,NA,58.2,16.2,9.8,0.07,81.2,234,"306.0","76.47","85.81","80.65","90.94","Better Than National Rate","18.0","329.0","5.47","3.91","2.97","5.21","Same As National Rate","0.88",368
"5219","OH","367691","FRMC HOME HEALTH SERVICES","5420 MILAN ROAD","SANDUSKY",44870,4195577270,"Non - Profit Private","Yes","Yes","Yes","Yes","Yes","Yes",1996-09-04,"3.0",98.8,99.6,99.5,99.5,81,82.9,99.5,76,81,79.9,80.2,88.2,68.7,16,18.3,0.28,84.8,1498,"1982.0","75.58","80.45","78.55","82.64","Same As National Rate","32.0","1360.0","2.35","2.93","2.28","3.70","Same As National Rate","1.12",3826
"5220","OH","367696","NORTHEAST PROFESSIONAL HOME CARE","1177 SOUTH MAIN STREET","NORTH CANTON",44720,3309662311,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1996-09-12,"3.0",98.9,98.4,99.5,97.1,76.2,88.6,91.8,70.7,81.5,74.9,84.7,93.4,72.4,15.9,10.8,0.12,85.1,186,"247.0","75.30","75.58","70.45","80.22","Same As National Rate","0.0","181.0","0.00","3.14","2.17","4.54","Same As National Rate","0.93",328
"5221","OH","367711","BROOKDALE HOME HEALTH DAYTON","2621 DRYDEN ROAD, SUITE 107","MORAINE",45439,9373209074,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1997-01-01,"3.5",96.5,97.6,99.1,96,90.9,89.9,93.3,82.7,81.8,85.9,78.9,NA,73.6,15.3,17.9,0.38,97.8,551,"717.0","76.85","82.76","79.82","86.09","Better Than National Rate","9.0","217.0","4.15","3.55","2.55","4.67","Same As National Rate","1.07",1087
"5222","OH","367713","SUMMA HEALTH AT HOME","1077 GORGE BLVD","AKRON",44310,2342001205,"Non - Profit Private","Yes","Yes","Yes","Yes","Yes","Yes",1996-12-19,"4.0",96.2,99,99.8,99.8,87,88.7,98.2,83,81.8,87.2,89.2,96.6,79.3,18.9,9.8,0.15,94.6,1752,"2354.0","74.43","80.02","78.26","82.09","Same As National Rate","67.0","1996.0","3.36","3.33","2.70","4.01","Same As National Rate","1.00",3390
"5223","OH","367720","COMMUNITY CHOICE HOME CARE INC","7318 OHIO RIVER ROAD","WHEELERSBURG",45694,7405749900,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1997-01-09,"2.0",75.8,98.9,100,100,71.4,75,100,64.6,80.6,71.2,69.6,NA,30.1,22.9,13.1,0.3,98.9,85,"106.0","80.19","80.84","73.67","87.50","Same As National Rate","3.0","48.0","6.25","3.68","2.58","5.25","Same As National Rate","1.17",165
"5224","OH","367723","PARKSIDE CARE CORP II","831 SOUTH STREET","CHARDON",44024,4402862273,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1996-12-26,"2.5",95.7,98.4,100,100,84,83.5,90.4,63.2,80.6,68.7,74.8,87.4,58.5,14.2,10,0.08,99.8,353,"432.0","81.71","87.80","83.45","91.34","Better Than National Rate","12.0","336.0","3.57","3.47","2.52","4.68","Same As National Rate","1.04",597
"5225","OH","367725","EMBER COMPLETE CARE INC","1800 NORTH WATER STREET","UHRICHSVILLE",44683,7409226888,"Proprietary","Yes","Yes","No","No","No","Yes",1997-03-14,"2.0",96.4,99.7,99.1,95.3,74.6,83.5,98.4,57.9,55.9,53.8,49.7,100,42.2,8.3,23.7,0.25,98.1,152,"179.0","84.92","92.31","86.65","97.43","Better Than National Rate","10.0","168.0","5.95","3.68","2.62","5.03","Same As National Rate","1.06",173
"5226","OH","367730","ELARA CARING","3425 EXECUTIVE PARKWAY, SUITE 206","TOLEDO",43606,4195366748,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1997-04-09,"4.0",98.5,100,99.8,99.7,88,91.3,99.7,83.6,82.6,87.6,90.8,95.9,77.6,15.9,16.2,0.11,99.6,756,"946.0","79.92","83.62","81.21","86.34","Better Than National Rate","11.0","777.0","1.42","2.75","2.06","3.72","Same As National Rate","0.93",1521
"5227","OH","367734","SENIOR SELECT INC","2830 COPLEY ROAD, SUITE 2","COPLEY",44321,3306654663,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1997-05-08,"3.0",93.1,98.7,99.7,99.2,81.6,86.2,92.3,74.6,77.8,78.8,77.4,96.1,71.5,16,9.1,0.24,97.8,222,"276.0","80.43","85.70","81.09","90.06","Better Than National Rate","3.0","166.0","1.81","3.26","2.31","4.46","Same As National Rate","1.02",368
"5228","OH","367741","AT HOME WITH SHEPHERD","5525 SILICA ROAD","AUSTINTOWN",44515,3305304041,"Non - Profit Religious","Yes","Yes","Yes","Yes","Yes","Yes",1997-05-16,"2.5",100,99.9,100,100,92.9,88.4,99.7,73.4,69.4,73.7,59.1,94.8,51.9,17.4,15.5,0.05,99.9,405,"505.0","80.20","88.99","85.37","92.80","Better Than National Rate","14.0","333.0","4.20","3.65","2.73","4.92","Same As National Rate","1.01",659
"5229","OH","367743","ACHIEVE REHAB & HOME HEALTH","5150 E GALBRAITH ROAD, 2ND FLOOR","CINCINNATI",45236,5137940555,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",1997-05-20,"2.5",95.1,98.4,96.8,89.8,38,38.9,97.9,74.5,72.3,72.3,69.6,NA,50,16.3,15.6,0.26,97.2,40,"62.0","64.52","65.89","54.52","76.61","Worse Than National Rate","","18.0","Not Available","Not Available","Not Available","Not Available","","1.05",86
"5230","OH","367744","ANGELS ABOVE AND BEYOND HOME HEALTH SERVICES","1041 OLD US HWY 52, SUITE F","NEW RICHMOND",45157,5135539955,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",1997-07-14,"2.0",89,95,100,100,87.7,99,97.8,61.5,56.6,66.9,79.7,NA,68.2,17.5,10.9,0.09,100,34,"45.0","75.56","78.83","67.63","89.13","Same As National Rate","1.0","25.0","4.00","3.53","2.35","5.01","Same As National Rate","0.94",56
"5231","OH","367754","ABSOLUTE HOME HEALTH","339 EAST MAPLE STREET, SUITE 110","NORTH CANTON",44720,3304988219,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1997-08-29,"3.5",97.1,97.9,99.6,99.5,78.7,85.3,99.7,78.1,84.2,77.2,77.8,88.6,75.5,7.8,12.3,0.57,97.2,361,"450.0","80.22","89.97","86.20","93.81","Better Than National Rate","13.0","330.0","3.94","3.60","2.67","4.91","Same As National Rate","0.91",524
"5232","OH","367755","PHYSICIANS CHOICE INC","5130 PRINCETON GLENDALE ROAD","HAMILTON",45011,5138441608,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",1997-09-02,"2.5",90.6,94.8,100,99.7,75,92.6,85.7,70.5,69.7,78.1,79.8,NA,55.9,14.4,19.6,0.41,98.8,158,"191.0","82.72","81.05","75.42","85.74","Same As National Rate","4.0","103.0","3.88","3.71","2.54","5.26","Same As National Rate","1.11",488
"5233","OH","367758","BROOKDALE HOME HEALTH CLEVELAND","600 EAST GRANGER ROAD, SUITE 100","BROOKLYN HEIGHTS",44131,4402501840,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1998-10-19,"3.5",94.3,97.3,99.4,94.5,90.1,91.9,96.1,87.3,86.3,85.2,87.8,92.1,65.6,18.4,11.1,0.24,98.3,1812,"2280.0","79.47","89.28","87.57","91.27","Better Than National Rate","46.0","1228.0","3.75","3.29","2.65","4.04","Same As National Rate","1.09",3178
"5234","OH","367761","HEART TO HEART HOME HEALTH CARE","600 EAST SMITH ROAD, SUITE 7","MEDINA",44256,3303359999,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",1999-06-30,"2.0",96.2,90.2,97.6,93.4,61.2,71.7,90.9,62.8,58.6,64.4,71.2,NA,50.2,NA,NA,0.13,93.3,NA,"3.0","Not Available","Not Available","Not Available","Not Available","","","4.0","Not Available","Not Available","Not Available","Not Available","","",7
"5235","OH","367762","OHIO VALLEY HOME HEALTH, INC","1480 JACKSON PIKE","GALLIPOLIS",45631,7404411393,"Non - Profit Private","Yes","Yes","No","No","No","Yes",1999-06-17,"3.5",100,100,97.9,98.1,84.4,90.4,98,69.4,92.3,74.3,75.3,NA,66.8,NA,NA,0.19,99,22,"26.0","84.62","84.55","69.80","93.45","Same As National Rate","","15.0","Not Available","Not Available","Not Available","Not Available","","0.89",127
"5236","OH","367766","HELPING HANDS HEALTHCARE, INC","9672 CINCINNATI-COLUMBUS ROAD","CINCINNATI",45241,5137772818,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",2000-02-17,"1.5",98,100,98.9,87.9,70.1,95.9,96,47.1,50.3,35.9,31.5,NA,30.1,NA,NA,0.06,98,63,"95.0","66.32","69.93","60.14","78.60","Worse Than National Rate","1.0","49.0","2.04","3.37","2.38","4.91","Same As National Rate","1.01",289
"5237","OH","367770","JEWISH FAMILY SERVICE ASSOCIATION OF CLEVELAND","3659 SOUTH GREEN ROAD, SUITE 316","BEACHWOOD",44122,2162923999,"Non - Profit Private","Yes","Yes","Yes","Yes","Yes","Yes",2000-09-06,"3.5",97.9,98.3,99.5,95.4,75,93.7,98.4,88.1,82.2,84.5,83.2,NA,75.1,15.7,13.7,0,99.2,212,"263.0","80.61","87.25","81.84","91.96","Better Than National Rate","15.0","179.0","8.38","4.24","3.16","5.68","Same As National Rate","1.06",403
"5238","OH","367771","VISITING NURSE ASSOCIATION OF MID-OHIO","40 WEST 4TH STREET","MANSFIELD",44902,4195224969,"Non - Profit Other","Yes","Yes","Yes","Yes","Yes","Yes",2000-10-04,"3.0",79.7,99.5,99.7,100,66.7,78.1,99,75.5,80.7,78.8,80.1,95.8,73.8,11.6,17.3,0,90.6,232,"304.0","76.32","84.49","78.89","89.17","Better Than National Rate","4.0","196.0","2.04","3.06","2.19","4.14","Same As National Rate","0.94",402
"5239","OH","367775","CHOICE HEALTH CARE, LTD","1257 N FAIRFIELD ROAD, SUITE A","BEAVERCREEK",45432,9372546220,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2001-01-24,"3.0",88,97.1,99.5,97,64.1,69.2,97.1,72.1,74.3,84.3,86.8,86.5,76.5,14.1,13.1,0.26,95.1,55,"150.0","36.67","40.72","34.48","48.69","Worse Than National Rate","0.0","31.0","0.00","3.37","2.38","4.77","Same As National Rate","0.87",385
"5240","OH","367777","BROOKDALE HOME HEALTH COLUMBUS","5955 WILCOX PLACE, SUITE B","DUBLIN",43016,6147613532,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2001-02-06,"4.0",95.3,99.9,100,95.6,87.2,81.5,96,85.9,83.2,87,85.5,94.4,79.3,17,17.9,0,98.7,902,"1100.0","82.00","88.01","85.57","90.54","Better Than National Rate","4.0","220.0","1.82","3.13","2.28","4.15","Same As National Rate","1.08",1966
"5241","OH","367778","KETTERING HOMECARE","1251 EAST DOROTHY LANE","KETTERING",45419,9372981111,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2001-03-16,"3.5",96.1,99.3,100,99.4,86.5,89.8,97.7,79.6,80.7,85.2,86,96.6,78.5,15.3,16,0.15,84.5,5091,"6761.0","75.30","79.69","78.57","81.08","Same As National Rate","113.0","4545.0","2.49","2.92","2.49","3.39","Better Than National Rate","1.04",11871
"5242","OH","367783","A TENDER NURSING CARE COMPANY","7668 SLATE RIDGE BOULEVARD","REYNOLDSBURG",43068,6148563508,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",2001-10-25,"4.0",95.9,97.4,99.6,92.9,91.7,95.1,92.4,74.6,92.2,90.5,92.3,NA,66.5,10.6,17.9,0.11,98.9,92,"109.0","84.40","90.95","83.42","97.18","Better Than National Rate","2.0","26.0","7.69","3.62","2.51","5.34","Same As National Rate","0.83",156
"5243","OH","367784","FIRST CHOICE HOME HEALTH OF OHIO, INC","2267 VILLAGE MALL DRIVE","ONTARIO",44906,4195212700,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2001-10-31,"2.0",86.9,94.7,98.6,86.9,65.7,73.1,89.2,68.7,71.1,70.7,71.6,92.4,64.8,16.2,11.8,0.17,89.7,523,"828.0","63.16","71.67","68.25","74.89","Worse Than National Rate","16.0","366.0","4.37","3.58","2.70","4.56","Same As National Rate","1.00",1710
"5244","OH","367785","GEM CITY HOME CARE, LLC","1700 LYONS ROAD, SUITE A","DAYTON",45458,9374389100,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2001-10-24,"2.5",89.7,98,99.6,98.9,78.1,78.9,91.4,75.1,77.6,78.6,75.2,90.3,68.1,15.5,15.2,0.22,96.6,3190,"4147.0","76.92","80.17","79.03","81.77","Better Than National Rate","47.0","2364.0","1.99","2.97","2.36","3.60","Same As National Rate","1.11",9456
"5245","OH","367787","HOME CARE BY BLACK STONE","445 HUTCHINSON AVENUE, SUITE 640","COLUMBUS",43235,6142276952,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2001-12-18,"3.5",98.6,97.6,99.7,98.5,90.5,86.9,99.6,82.6,81.6,84.2,85.5,97,75.2,16.5,14.1,0.21,95.5,384,"505.0","76.04","82.07","78.64","85.81","Same As National Rate","11.0","298.0","3.69","3.27","2.44","4.40","Same As National Rate","1.06",858
"5246","OH","367790","CENTRAL OHIO HOME HELP AGENCY","739 SOUTH JAMES ROAD","COLUMBUS",43227,6148840793,"Proprietary","Yes","Yes","Yes","No","No","Yes",2002-02-07,"2.5",96.7,62.7,97.7,65.6,21.2,36.5,100,51.4,58.1,50.2,81.9,NA,74.8,NA,NA,0.32,56,NA,"13.0","Not Available","Not Available","Not Available","Not Available","","","4.0","Not Available","Not Available","Not Available","Not Available","","1.17",39
"5247","OH","367791","LSS HOME HEALTH CARE","500 W WILSON BRIDGE ROAD, SUITE 235","WORTHINGTON",43085,6144310599,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",2002-03-07,"4.0",100,99.3,99.4,98.9,98.2,97.7,98.1,73.8,90.8,77.6,87.5,NA,83.9,18.3,7.8,0.09,98.9,147,"169.0","86.98","91.33","85.68","96.03","Better Than National Rate","4.0","73.0","5.48","3.62","2.52","5.01","Same As National Rate","0.96",202
"5248","OH","367798","HIGH POINT HOME HEALTH, LTD","180 REYNOLDS AVENUE","BELLEFONTAINE",43311,9375929800,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",2002-08-28,"4.0",91.3,95.6,100,97.9,86,81,100,87.1,85.2,84.9,75.1,NA,83.5,10,14.5,0,96.9,110,"201.0","54.73","62.03","54.65","69.35","Worse Than National Rate","2.0","68.0","2.94","3.40","2.41","4.83","Same As National Rate","1.01",781
"5249","OH","368014","ABBOTT HOME CARE, INC","209 MARION PIKE","COAL GROVE",45638,7405349908,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2003-03-17,"3.0",92.2,97.8,99.5,96.6,72.5,85,94.1,80.8,84.3,80.4,70.8,85.5,70.9,13.6,12.9,0.82,97.2,224,"335.0","66.87","73.30","67.99","77.95","Worse Than National Rate","7.0","184.0","3.80","3.51","2.49","4.77","Same As National Rate","0.98",533
"5250","OH","368015","KINDRED AT HOME II","540 OFFICE CENTER PLAZA, SUITE 295","COLUMBUS",43230,6143972225,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2003-04-24,"4.5",99.9,99.8,100,99.9,82.1,88.6,99.4,87.8,84.7,89.4,86,95.7,81.4,16.4,17.6,0.12,97.2,862,"1095.0","78.72","87.58","84.89","90.43","Better Than National Rate","36.0","740.0","4.86","3.77","3.02","4.75","Same As National Rate","1.09",1925
"5251","OH","368016","CARE CONNECTION OF CINCINNATI","4420 COOPER ROAD, SUITE 120","CINCINNATI",45242,5138421101,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2003-04-23,"2.5",89.5,98.5,99.4,98.5,81.2,84.2,91.7,73.5,78,76.3,68,89.5,63.8,15.3,13.3,0.24,97.8,2536,"3178.0","79.80","83.96","82.66","85.59","Better Than National Rate","42.0","1896.0","2.22","2.78","2.25","3.39","Better Than National Rate","1.07",5702
"5252","OH","368022","AMERICARE HEALTHCARE SERVICES, LLC","1279 EAST DUBLIN GRANVILLE ROAD","COLUMBUS",43229,6142730086,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",2003-08-11,"2.0",83.1,85.6,94.6,41.9,16.8,25.4,85.2,71.2,54.3,61,60,NA,64.6,NA,NA,0,70.7,NA,"1.0","Not Available","Not Available","Not Available","Not Available","","","","Not Available","Not Available","Not Available","Not Available","","",1
"5253","OH","368025","SEASONS OF CARE HEALTH SERVICES, LLC","16500 SPRAGUE ROAD, SUITE C","MIDDLEBURG HEIGHTS",44130,4402744000,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2003-08-27,"3.5",97,100,100,92.5,91.2,95.5,NA,81.3,86.1,87.7,73.8,NA,77.8,18.6,10.4,0,98.5,94,"106.0","88.68","98.61","91.46","100","Better Than National Rate","2.0","71.0","2.82","3.40","2.35","4.62","Same As National Rate","0.79",112
"5254","OH","368030","HILLEBRAND HOME HEALTH, INC","4343 BRIDGETOWN ROAD","CINCINNATI",45211,5135986648,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2003-09-16,"3.5",99.3,99.3,99.2,99.3,95.2,97.8,98,71,97.8,74.5,79.8,NA,76.6,14.4,12.9,0.39,98.6,174,"217.0","80.18","82.79","77.95","87.59","Same As National Rate","4.0","186.0","2.15","3.32","2.36","4.54","Same As National Rate","1.05",249
"5255","OH","368032","MIRACLE HEALTH CARE","4322 NORTH HAMILTON ROAD","GAHANNA",43230,6142377702,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2003-11-04,"4.5",100,98,100,100,71.8,79.4,90.3,84.2,85.8,88.8,90.7,NA,82.1,11.8,7.6,0,98,56,"103.0","54.37","63.42","53.32","73.79","Worse Than National Rate","2.0","41.0","4.88","3.57","2.55","5.17","Same As National Rate","1.06",158
"5256","OH","368043","J&J'S CONSULTING AND HOME HEALTH, LLC","1418 BRICE ROAD, SUITE 205","REYNOLDSBURG",43068,6147754840,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",2004-01-29,"1.5",82.4,98,96.3,96,58.4,65.2,96.2,54.1,44.1,57.9,82.1,NA,28.9,NA,NA,0.09,100,NA,"19.0","Not Available","Not Available","Not Available","Not Available","","","7.0","Not Available","Not Available","Not Available","Not Available","","0.77",188
"5257","OH","368046","HORIZON HOME HEALTHCARE, LLC","410 CORPORATE CENTER DRIVE","VANDALIA",45377,9374103838,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2004-02-25,"2.5",98.5,100,99.2,99.5,93,93.4,100,67.3,71,78.7,80.6,99.7,61.1,15.7,17.8,0.29,99.2,88,"110.0","80.00","88.37","79.80","95.36","Better Than National Rate","5.0","75.0","6.67","3.63","2.60","5.10","Same As National Rate","1.05",223
